"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"988","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","183","Found 'DD'-anomaly for variable 'Timezone' (lines '183'-'250').","Controversial Rules","DataflowAnomalyAnalysis"
"989","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","189","Avoid variables with short names like st","Naming Rules","ShortVariable"
"990","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","194","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"991","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","208","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"992","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","208","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"993","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","222","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"994","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","226","Found 'DD'-anomaly for variable 'timeandzone' (lines '226'-'232').","Controversial Rules","DataflowAnomalyAnalysis"
"995","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","229","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"996","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","233","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"997","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","237","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"998","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","247","Found 'DD'-anomaly for variable 'timeandzone' (lines '247'-'280').","Controversial Rules","DataflowAnomalyAnalysis"
"999","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","251","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"1000","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","259","Found 'DD'-anomaly for variable 'timeandzone' (lines '259'-'264').","Controversial Rules","DataflowAnomalyAnalysis"
"1001","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","265","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"1002","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","281","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"1003","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","290","Found 'DD'-anomaly for variable 'time' (lines '290'-'300').","Controversial Rules","DataflowAnomalyAnalysis"
"1004","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","291","Found 'DD'-anomaly for variable 'timezone' (lines '291'-'310').","Controversial Rules","DataflowAnomalyAnalysis"
"1005","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","291","Found 'DD'-anomaly for variable 'timezone' (lines '291'-'317').","Controversial Rules","DataflowAnomalyAnalysis"
"1006","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","296","Avoid variables with short names like st","Naming Rules","ShortVariable"
"1007","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","300","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"1008","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","307","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"1009","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","312","Found 'DD'-anomaly for variable 'timeandzone' (lines '312'-'327').","Controversial Rules","DataflowAnomalyAnalysis"
"1010","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","319","Found 'DD'-anomaly for variable 'timeandzone' (lines '319'-'327').","Controversial Rules","DataflowAnomalyAnalysis"
"1011","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","344","Found 'DU'-anomaly for variable 'am' (lines '344'-'350').","Controversial Rules","DataflowAnomalyAnalysis"
"1012","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","434","Found 'DU'-anomaly for variable 'year' (lines '434'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1013","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","436","Found 'DU'-anomaly for variable 'month' (lines '436'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1014","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","437","Found 'DU'-anomaly for variable 'day' (lines '437'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1015","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","438","Found 'DU'-anomaly for variable 'hours' (lines '438'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1016","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","439","Found 'DU'-anomaly for variable 'minutes' (lines '439'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1017","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","440","Found 'DU'-anomaly for variable 'seconds' (lines '440'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1018","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","442","Found 'DU'-anomaly for variable 'g' (lines '442'-'466').","Controversial Rules","DataflowAnomalyAnalysis"
"1019","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","5","463","Found 'DD'-anomaly for variable 'timeZone' (lines '463'-'464').","Controversial Rules","DataflowAnomalyAnalysis"
"1020","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","1","468","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"1021","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","1","470","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"1022","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleTimeTranslation.java","3","470","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"1023","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1","This class has a bunch of public methods and attributes","Code Size Rules","ExcessivePublicCount"
"1024","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","16","Avoid really long classes.","Code Size Rules","ExcessiveClassLength"
"1025","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","16","The class 'TranslateAlarm' has a Cyclomatic Complexity of 41 (Highest = 561).","Code Size Rules","CyclomaticComplexity"
"1026","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","16","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"1027","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","16","Too many fields","Code Size Rules","TooManyFields"
"1028","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","18","Avoid excessively long variable names like broadsoftEventTime","Naming Rules","LongVariable"
"1029","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","18","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"1030","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"1031","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","19","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"1032","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","21","Avoid excessively long variable names like netraAlarmSeverity","Naming Rules","LongVariable"
"1033","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","22","Avoid excessively long variable names like ituAlarmEventTypeoid","Naming Rules","LongVariable"
"1034","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"1035","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","22","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"1036","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","26","Avoid excessively long variable names like axd301pchIndicator","Naming Rules","LongVariable"
"1037","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","31","Avoid excessively long variable names like axdpchVpVcFaultType","Naming Rules","LongVariable"
"1038","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","106","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"1039","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","106","Private field 'gsnReportEvent' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"1040","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","108","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
